Informazioni cronologiche,Indirizzo email,Title,Author list,Conference,Year,Category,Section,Sub-section,Short description (1-2 lines),Link paper,Link page,Link code,Link video,Note,Git Command
,,Egocentric Vision-based Action Recognition: A survey," Adrián Núñez-Marcos, Gorka Azkune, Ignacio Arganda-Carreras",Neurocomputing,2021,Surveys,,,,https://www.sciencedirect.com/science/article/pii/S0925231221017586,,,,,
,,Predicting the future from first person (egocentric) vision: A survey," Ivan Rodin, Antonino Furnari, Dimitrios Mavroedis, Giovanni Maria Farinella",CVIU,2021,Surveys,,,,https://arxiv.org/abs/2107.13411,,,,,
,,Analysis of the hands in egocentric vision: A survey," Andrea Bandini, José Zariffa",TPAMI,2020,Surveys,,,,https://arxiv.org/abs/1912.10867,,,,,
,,Summarization of Egocentric Videos: A Comprehensive Survey," Ana Garcia del Molino, Cheston Tan, Joo-Hwee Lim, Ah-Hwee Tan",THMS,2017,Surveys,,,,https://ieeexplore.ieee.org/abstract/document/7750564,,,,,
,,A survey of activity recognition in egocentric lifelogging datasets," El Asnaoui Khalid, Aksasse Hamid, Aksasse Brahim, Ouanan Mohammed",WITS,2017,Surveys,,,,https://ieeexplore.ieee.org/abstract/document/7934659,,,,,
,,Recognition of Activities of Daily Living with Egocentric Vision: A Review," Thi-Hoa-Cuc Nguyen, Jean-Christophe Nebel, Francisco Florez-Revuelta",Sensors,2016,Surveys,,,,https://www.mdpi.com/1424-8220/16/1/72,,,,,
,,The Evolution of First Person Vision Methods: A Survey," Alejandro Betancourt, Pietro Morerio, Carlo S. Regazzoni, Matthias Rauterberg",TCSVT,2015,Surveys,,,,https://arxiv.org/abs/1409.1484,,,,,
,,Stacked Temporal Attention: Improving First-person Action Recognition by Emphasizing Discriminative Clips," Lijin Yang, Yifei Huang, Yusuke Sugano, Yoichi Sato",BMVC,2021,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/2112.01038,,,,,
,,With a Little Help from my Temporal Context: Multimodal Egocentric Action Recognition," Evangelos Kazakos, Jaesung Huh, Arsha Nagrani, Andrew Zisserman, Dima Damen",BMVC,2021,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/2111.01024,,,,,
,,Interactive Prototype Learning for Egocentric Action Recognition," Xiaohan Wang, Linchao Zhu, Heng Wang, Yi Yang",ICCV,2021,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content/ICCV2021/html/Wang_Interactive_Prototype_Learning_for_Egocentric_Action_Recognition_ICCV_2021_paper.html,,,,,
,,Learning to Recognize Actions on Objects in Egocentric Video with Attention Dictionaries," Swathikiran Sudhakaran, Sergio Escalera, Oswald Lanz",T-PAMI,2021,Papers,Action/Activity Recognition,Action Recognition,,https://ieeexplore.ieee.org/abstract/document/9353268,,,,,
,,Slow-Fast Auditory Streams For Audio Recognition," Evangelos Kazakos, Arsha Nagrani, Andrew Zisserman, Dima Damen",ICASSP,2021,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/2103.03516,,,,,
,,Integrating Human Gaze Into Attention for Egocentric Activity Recognition," Kyle Min, Jason J. Corso",WACV,2021,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content/WACV2021/html/Min_Integrating_Human_Gaze_Into_Attention_for_Egocentric_Activity_Recognition_WACV_2021_paper.html,,,,,
,,Self-Supervised Joint Encoding of Motion and Appearance for First Person Action Recognition," Mirco Planamente, Andrea Bottino, Barbara Caputo",ICPR,2020,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/pdf/2002.03982.pdf,,,,,
,,Gate-Shift Networks for Video Action Recognition," Swathikiran Sudhakaran, Sergio Escalera, Oswald Lanz",CVPR,2020,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_CVPR_2020/html/Sudhakaran_Gate-Shift_Networks_for_Video_Action_Recognition_CVPR_2020_paper.html,,https://github.com/swathikirans/GSM,,,
,,Trear: Transformer-based RGB-D Egocentric Action Recognition," Xiangyu Li, Yonghong Hou, Pichao Wang, Zhimin Gao, Mingliang Xu, Wanqing Li",TCDS,2020,Papers,Action/Activity Recognition,Action Recognition,,https://ieeexplore.ieee.org/abstract/document/9312201?casa_token=VjrXPrZDuSgAAAAA:ezQgxMoeH7q3fxl8su7zg1yghkp60nbxCwU3FxyZEKWghbUVozmKmS_YE99AYceBr3lxA6Ud,,,,,
,,EPIC-Fusion: Audio-Visual Temporal Binding for Egocentric Action Recognition," Kazakos, Evangelos and Nagrani, Arsha and Zisserman, Andrew and Damen, Dima",ICCV,2019,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Kazakos_EPIC-Fusion_Audio-Visual_Temporal_Binding_for_Egocentric_Action_Recognition_ICCV_2019_paper.pdf,,https://github.com/ekazakos/temporal-binding-network,,,
,,Learning Spatiotemporal Attention for Egocentric Action Recognition," Minlong Lu, Danping Liao, Ze-Nian Li",WICCV,2019,Papers,Action/Activity Recognition,Action Recognition,,http://openaccess.thecvf.com/content_ICCVW_2019/papers/EPIC/Lu_Learning_Spatiotemporal_Attention_for_Egocentric_Action_Recognition_ICCVW_2019_paper.pdf,,,,,
,,Multitask Learning to Improve Egocentric Action Recognition," Georgios Kapidis, Ronald Poppe, Elsbeth van Dam, Lucas Noldus, Remco Veltkamp",WICCV,2019,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/1909.06761,,,,,
,,Seeing and Hearing Egocentric Actions: How Much Can We Learn?," Alejandro Cartas, Jordi Luque, Petia Radeva, Carlos Segura, Mariella Dimiccoli",WICCV,2019,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/1910.06693,,,,,
,,Deep Attention Network for Egocentric Action Recognition," Minlong Lu, Simon Fraser, Ze-Nian Li, Yueming Wang, Gang Pan",TIP,2019,Papers,Action/Activity Recognition,Action Recognition,,https://ieeexplore.ieee.org/abstract/document/8653357,,,,,
,,LSTA: Long Short-Term Attention for Egocentric Action Recognition," Sudhakaran, Swathikiran and Escalera, Sergio and Lanz, Oswald",CVPR,2019,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Sudhakaran_LSTA_Long_Short-Term_Attention_for_Egocentric_Action_Recognition_CVPR_2019_paper.pdf,,https://github.com/swathikirans/LSTA,,,
,,Long-Term Feature Banks for Detailed Video Understanding," Chao-Yuan Wu, Christoph Feichtenhofer, Haoqi Fan, Kaiming He, Philipp Krähenbühl, Ross Girshick",CVPR,2019,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/1812.05038,,,,,
,,Attention is All We Need: Nailing Down Object-centric Attention for Egocentric Activity Recognition," Swathikiran Sudhakaran, Oswald Lanz",BMVC,2018,Papers,Action/Activity Recognition,Action Recognition,,https://arxiv.org/abs/1807.11794,,,,,
,,Egocentric Activity Recognition on a Budget," Possas, Rafael and Caceres, Sheila Pinto and Ramos, Fabio",CVPR,2018,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_cvpr_2018/papers/Possas_Egocentric_Activity_Recognition_CVPR_2018_paper.pdf,,,,,
,,In the eye of beholder: Joint learning of gaze and actions in first person video," Li, Y., Liu, M., & Rehg, J. M.",ECCV,2018,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_ECCV_2018/papers/Yin_Li_In_the_Eye_ECCV_2018_paper.pdf,,,,,
,,Egocentric Gesture Recognition Using Recurrent 3D Convolutional Neural Networks with Spatiotemporal Transformer Modules," Cao, Congqi and Zhang, Yifan and Wu, Yi and Lu, Hanqing and Cheng, Jian",ICCV,2017,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_ICCV_2017/papers/Cao_Egocentric_Gesture_Recognition_ICCV_2017_paper.pdf,,,,,
,,Action recognition in RGB-D egocentric videos," Yansong Tang, Yi Tian, Jiwen Lu, Jianjiang Feng, Jie Zhou",ICIP,2017,Papers,Action/Activity Recognition,Action Recognition,,https://ieeexplore.ieee.org/document/8296915,,,,,
,,Trajectory Aligned Features For First Person Action Recognition," S. Singh, C. Arora, and C.V. Jawahar", Pattern Recognition,2017,Papers,Action/Activity Recognition,Action Recognition,,http://cdn.iiit.ac.in/cdn/cvit.iiit.ac.in/images/JournalPublications/2016/Suriya_2016_Trajectory_Features.pdf,,,,,
,,Modeling Sub-Event Dynamics in First-Person Action Recognition," Hasan F. M. Zaki, Faisal Shafait, Ajmal Mian",CVPR,2017,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_cvpr_2017/html/Zaki_Modeling_Sub-Event_Dynamics_CVPR_2017_paper.html,,,,,
,,First Person Action Recognition Using Deep Learned Descriptors," S. Singh, C. Arora, and C.V. Jawahar",CVPR,2016,Papers,Action/Activity Recognition,Action Recognition,,https://www.cv-foundation.org/openaccess/content_cvpr_2016/app/S12-15.pdf,,https://github.com/suriyasingh/EgoConvNet,,,
,,Delving into egocentric actions," Li, Y., Ye, Z., & Rehg, J. M.",CVPR,2015,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content_cvpr_2015/papers/Li_Delving_Into_Egocentric_2015_CVPR_paper.pdf,,,,,
,,Pooled Motion Features for First-Person Videos," Michael S. Ryoo, Brandon Rothrock and Larry H. Matthies",CVPR,2015,Papers,Action/Activity Recognition,Action Recognition,,https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Ryoo_Pooled_Motion_Features_2015_CVPR_paper.pdf,,,,,
,,Generating Notifications for Missing Actions: Don't forget to turn the lights off!," Soran, Bilge, Ali Farhadi, and Linda Shapiro",ICCV,2015,Papers,Action/Activity Recognition,Action Recognition,,https://homes.cs.washington.edu/~ali/alarm-iccv.pdf,,,,,
,,First-Person Activity Recognition: What Are They Doing to Me?, M. S. Ryoo and L. Matthies,CVPR,2013,Papers,Action/Activity Recognition,Action Recognition,,http://cvrc.ece.utexas.edu/mryoo/papers/cvpr2013_ryoo.pdf,,,,,
,,Detecting activities of daily living in first-person camera views," Pirsiavash, H., & Ramanan, D.",CVPR,2012,Papers,Action/Activity Recognition,Action Recognition,,https://www.cs.cmu.edu/~deva/papers/ADL_2012.pdf,,,,,
,,Learning to recognize daily actions using gaze," Fathi, A., Li, Y., & Rehg, J. M",ECCV,2012,Papers,Action/Activity Recognition,Action Recognition,,http://ai.stanford.edu/~alireza/publication/ECCV12.pdf,,,,,
,,Egocentric Human-Object Interaction Detection Exploiting Synthetic Data," Rosario Leonardi, Francesco Ragusa, Antonino Furnari, Giovanni Maria Farinella",ICIAP,2022,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2204.07061,,,,,
,,Learning Visual Affordance Grounding from Demonstration Videos," Hongchen Luo, Wei Zhai, Jing Zhang, Yang Cao, Dacheng Tao",,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2108.05675,,,,,
,,Domain and View-point Agnostic Hand Action Recognition," Alberto Sabater, Iñigo Alonso, Luis Montesano, Ana C. Murillo",,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2103.02303,,,,,
,,Understanding Egocentric Hand-Object Interactions from Hand Estimation," Yao Lu, Walterio W. Mayol-Cuevas",,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2109.14657,,,,,
,,Egocentric Hand-object Interaction Detection and Application," Yao Lu, Walterio W. Mayol-Cuevas",,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2109.14734,,,,,
,,The MECCANO Dataset: Understanding Human-Object Interactions from Egocentric Videos in an Industrial-like Domain," Francesco Ragusa, Antonino Furnari, Salvatore Livatino, Giovanni Maria Farinella",WACV,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2010.05654,,,,,
,,Is First Person Vision Challenging for Object Tracking?," Matteo Dunnhofer, Antonino Furnari, Giovanni Maria Farinella, Christian Micheloni",WICCV,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2011.12263,,,,,
,,Real Time Egocentric Object Segmentation: THU-READ Labeling and Benchmarking Results," E. Gonzalez-Sosa, G. Robledo, D. Gonzalez-Morin, P. Perez-Garcia, A. Villegas",WCVPR,2021,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/2106.04957,,,,,
,,Forecasting Human-Object Interaction: Joint Prediction of Motor Attention and Actions in First Person Video," Miao Liu, Siyu Tang, Yin Li, James M. Rehg",ECCV,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123460681.pdf,,,,,
,,Understanding Human Hands in Contact at Internet Scale," Dandan Shan, Jiaqi Geng, Michelle Shu, David F. Fouhey",CVPR,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_CVPR_2020/html/Shan_Understanding_Human_Hands_in_Contact_at_Internet_Scale_CVPR_2020_paper.html,,,,,
,,Generalizing Hand Segmentation in Egocentric Videos with Uncertainty-Guided Model Adaptation, Minjie Cai and Feng Lu and Yoichi Sato,CVPR,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Cai_Generalizing_Hand_Segmentation_in_Egocentric_Videos_With_Uncertainty-Guided_Model_Adaptation_CVPR_2020_paper.pdf,,https://github.com/cai-mj/UMA,,,
,,Weakly-Supervised Mesh-Convolutional Hand Reconstruction in the Wild," Dominik Kulon, Riza Alp Güler, Iasonas Kokkinos, Michael Bronstein, Stefanos Zafeiriou",CVPR,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Kulon_Weakly-Supervised_Mesh-Convolutional_Hand_Reconstruction_in_the_Wild_CVPR_2020_paper.pdf,,,,,
,,Hand-Priming in Object Localization for Assistive Egocentric Vision," Lee, Kyungjun and Shrivastava, Abhinav and Kacorri, Hernisa",WACV,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_WACV_2020/papers/Lee_Hand-Priming_in_Object_Localization_for_Assistive_Egocentric_Vision_WACV_2020_paper.pdf,,,,,
,,Learning joint reconstruction of hands and manipulated objects," Yana Hasson, Gül Varol, Dimitrios Tzionas, Igor Kalevatykh, Michael J. Black, Ivan Laptev, Cordelia Schmid",CVPR,2020,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Hasson_Learning_Joint_Reconstruction_of_Hands_and_Manipulated_Objects_CVPR_2019_paper.pdf,,,,,
,,H+O: Unified Egocentric Recognition of 3D Hand-Object Poses and Interactions," Tekin, Bugra and Bogo, Federica and Pollefeys, Marc",CVPR,2019,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Tekin_HO_Unified_Egocentric_Recognition_of_3D_Hand-Object_Poses_and_Interactions_CVPR_2019_paper.pdf,,,https://youtu.be/ko6kNZ9DuAk?t=3240,,
,,From Lifestyle VLOGs to Everyday Interaction, David F. Fouhey and Weicheng Kuo and Alexei A. Efros and Jitendra Malik,CVPR,2018,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_cvpr_2018/CameraReady/0733.pdf,,,,,
,,Analysis of Hand Segmentation in the Wild,"Aisha Urooj, Ali Borj",CVPR,2018,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/pdf/1803.03317,,,,,
,,First-Person Hand Action Benchmark with RGB-D Videos and 3D Hand Pose Annotations," Garcia-Hernando, Guillermo and Yuan, Shanxin and Baek, Seungryul and Kim, Tae-Kyun",CVPR,2018,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_cvpr_2018/papers/Garcia-Hernando_First-Person_Hand_Action_CVPR_2018_paper.pdf,,https://github.com/guiggh/hand_pose_action,,,
,,Jointly Recognizing Object Fluents and Tasks in Egocentric Videos," Liu, Yang and Wei, Ping and Zhu, Song-Chun",ICCV,2017,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_ICCV_2017/papers/Liu_Jointly_Recognizing_Object_ICCV_2017_paper.pdf,,,,,
,,Egocentric Gesture Recognition Using Recurrent 3D Convolutional Neural Networks with Spatiotemporal Transformer Modules," Cao, Congqi and Zhang, Yifan and Wu, Yi and Lu, Hanqing and Cheng, Jian",ICCV,2017,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_ICCV_2017/papers/Cao_Egocentric_Gesture_Recognition_ICCV_2017_paper.pdf,,,,,
,,First Person Action-Object Detection with EgoNet," Gedas Bertasius, Hyun Soo Park, Stella X. Yu, Jianbo Shi",,2017,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://arxiv.org/abs/1603.04908,,,,,
,,Understanding Hand-Object Manipulation with Grasp Types and Object Attributes, Minjie Cai and Kris M. Kitani and Yoichi Sato, Robotics: Science and Systems,2018,Papers,Action/Activity Recognition,Hand-Object Interactions,,http://www.cs.cmu.edu/~kkitani/pdf/CKY-RSS16.pdf,,,,,
,,Lending a hand: Detecting hands and recognizing activities in complex egocentric interactions," Bambach, S., Lee, S., Crandall, D. J., & Yu, C.",ICCV,2015,Papers,Action/Activity Recognition,Hand-Object Interactions,,http://homes.sice.indiana.edu/sbambach/papers/iccv-egohands.pdf,,,,,
,,Understanding Everyday Hands in Action From RGB-D Images," Gregory Rogez, James S. Supancic III, Deva Ramanan",ICCV,2015,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://openaccess.thecvf.com/content_iccv_2015/html/Rogez_Understanding_Everyday_Hands_ICCV_2015_paper.html,,,,,
,,"You-Do, I-Learn: Discovering Task Relevant Objects and their Modes of Interaction from Multi-User Egocentric Video"," Dima Damen, Teesid Leelasawassuk, Osian Haines, Andrew Calway, and Walterio Mayol-Cuevas",BMVC,2014,Papers,Action/Activity Recognition,Hand-Object Interactions,,http://www.bmva.org/bmvc/2014/files/paper059.pdf,,,,,
